,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1915-11-14 19:29:51.417142,1915-04-25 00:00:00,1915-07-19 09:49:25.162979,1916-02-05 00:00:00,358.51217244980836,348.60936184595715,85,83
1916-12-20 23:36:50.162498,1916-06-01 00:00:00,1916-08-25 09:34:12.640425,1917-03-14 00:00:00,35.409249472192606,25.422865821995739,85,84
1918-01-26 12:48:02.032064,1917-07-07 00:00:00,1917-09-30 16:05:14.814690,1918-04-21 00:00:00,71.520606467781505,61.469345401382235,85,85
1919-03-02 16:35:14.097564,1918-08-09 00:00:00,1918-11-03 13:51:25.967345,1919-05-28 00:00:00,105.82889885793459,95.757868691911696,86,87
1920-04-04 01:36:36.492261,1919-09-09 00:00:00,1919-12-05 09:36:13.220905,1920-07-01 00:00:00,138.14278031178026,128.10335972700361,87,88
1921-05-06 01:47:30.144198,1920-10-08 00:00:00,1921-01-03 21:36:22.981364,1921-08-03 00:00:00,168.91579344476233,158.92915501444804,87,89
1922-06-06 04:49:33.816090,1921-11-07 00:00:00,1922-02-02 23:29:51.114982,1922-09-03 00:00:00,198.89724930913445,188.96869052457487,87,89
1923-07-07 08:20:29.723675,1922-12-08 00:00:00,1923-03-05 18:49:47.149076,1923-10-03 00:00:00,228.94015753464325,219.05939843934379,87,88
1924-08-07 02:10:40.827612,1924-01-10 00:00:00,1924-04-06 01:27:28.775077,1924-11-01 00:00:00,259.9017468528603,250.0540762810449,87,86
1925-09-09 07:17:05.999821,1925-02-13 00:00:00,1925-05-10 15:28:53.433943,1925-12-03 00:00:00,292.51958149040826,282.68417429972379,86,85
1926-10-14 04:48:37.887398,1926-03-23 00:00:00,1926-06-16 08:35:13.394386,1927-01-05 00:00:00,327.16756352476807,317.31351538020061,85,83
1927-11-19 18:48:10.632407,1927-04-30 00:00:00,1927-07-24 13:08:53.265609,1928-02-10 00:00:00,3.5210262591186834,353.60774292549752,85,83
1928-12-25 20:33:11.621543,1928-06-06 00:00:00,1928-08-30 09:18:24.464630,1929-03-19 00:00:00,40.422404819766186,30.428284653031159,85,84
1930-01-31 09:17:09.583626,1929-07-11 00:00:00,1929-10-05 09:55:46.102991,1930-04-26 00:00:00,76.406026252701054,66.349992231889544,86,85
1931-03-07 08:40:09.455764,1930-08-13 00:00:00,1930-11-08 03:20:33.008433,1931-06-02 00:00:00,110.51539167345031,100.44888226147259,87,87
1932-04-08 14:10:04.923906,1931-09-13 00:00:00,1931-12-09 17:28:59.855324,1932-07-06 00:00:00,142.6381516982247,132.60222081567812,87,89
1933-05-10 10:21:42.431532,1932-10-13 00:00:00,1933-01-08 02:21:48.114158,1933-08-08 00:00:00,173.26726412801187,163.28990782005164,87,90
1934-06-10 13:41:16.590629,1933-11-12 00:00:00,1934-02-07 06:18:19.868957,1934-09-08 00:00:00,203.19576261431251,193.27393841984824,87,90
1935-07-11 15:39:18.492468,1934-12-13 00:00:00,1935-03-10 02:47:17.726141,1935-10-07 00:00:00,233.29705571584822,223.4215661414199,87,88
1936-08-11 14:59:06.175713,1936-01-15 00:00:00,1936-04-10 17:48:32.005398,1936-11-06 00:00:00,264.43386218872052,254.58824353023971,86,87
1937-09-13 23:18:06.470499,1937-02-18 00:00:00,1937-05-15 13:02:37.095783,1937-12-07 00:00:00,297.31752741172903,287.47952441261668,86,85
1938-10-19 05:45:22.470684,1938-03-28 00:00:00,1938-06-21 15:29:54.085178,1939-01-10 00:00:00,332.25305434646646,322.39272190119624,85,83
1939-11-24 21:16:57.098217,1939-05-05 00:00:00,1939-07-29 21:00:48.603571,1940-02-15 00:00:00,8.7933509785396549,358.86967533755552,85,83
1940-12-31 01:20:01.429798,1940-06-11 00:00:00,1940-09-04 13:00:15.882816,1941-03-24 00:00:00,45.680366156713411,35.67593906206011,85,83
1942-02-05 10:01:29.045033,1941-07-16 00:00:00,1941-10-10 07:59:55.291007,1942-05-01 00:00:00,81.446242832251755,71.385667275173518,86,85
1943-03-12 02:11:32.495594,1942-08-18 00:00:00,1942-11-12 14:24:41.042294,1943-06-07 00:00:00,115.23910339218867,105.17189115686733,86,87
