,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1916-03-21 14:45:16.574648,1915-10-27 00:00:00,1915-12-31 22:28:32.137701,1916-05-28 00:00:00,149.82882939874821,130.32382603419583,65,68
1918-04-25 16:45:27.057378,1917-11-29 00:00:00,1918-02-03 23:01:03.559254,1918-06-30 00:00:00,183.07065249154545,163.84654018951335,66,66
1920-05-31 22:25:47.236645,1920-01-10 00:00:00,1920-03-15 03:03:23.211398,1920-07-30 00:00:00,219.09915333069381,201.23840634674886,65,60
1922-07-17 02:12:30.630084,1922-03-14 00:00:00,1922-05-08 06:08:10.963531,1922-09-04 00:00:00,265.27253489088082,251.10217367643568,55,49
1924-09-22 09:14:24.217222,1924-06-12 00:00:00,1924-07-24 11:01:01.290318,1924-11-02 00:00:00,335.31156614966727,325.32943915846784,42,41
1926-12-07 02:25:41.483589,1926-08-09 00:00:00,1926-09-29 05:41:42.686453,1927-01-31 00:00:00,49.457550067781966,34.523256350827097,51,55
1929-01-27 12:03:51.593439,1928-09-13 00:00:00,1928-11-12 04:12:02.788319,1929-04-02 00:00:00,99.289985819815456,80.986774710493989,60,65
1931-03-08 13:53:41.408847,1930-10-15 00:00:00,1930-12-18 13:43:05.331783,1931-05-15 00:00:00,136.81435421163562,117.42781186929136,64,68
1933-04-12 02:18:10.789757,1932-11-15 00:00:00,1933-01-21 01:27:27.976308,1933-06-17 00:00:00,170.28353296675604,150.86089585177183,67,66
1935-05-17 21:38:02.123953,1934-12-23 00:00:00,1935-02-27 12:08:26.683276,1935-07-19 00:00:00,204.61834772162658,186.04708985332371,66,63
1937-06-27 10:09:32.770859,1937-02-13 00:00:00,1937-04-14 14:40:26.512084,1937-08-20 00:00:00,245.53594126339189,229.53038967109237,60,54
1939-08-23 23:58:15.914498,1939-05-08 00:00:00,1939-06-22 18:33:35.358149,1939-10-05 00:00:00,304.70980777590472,293.91141708231731,45,43
1941-11-10 08:33:53.040815,1941-07-22 00:00:00,1941-09-06 18:33:08.519678,1941-12-29 00:00:00,23.724360911122062,11.07356751605664,46,49
1944-01-10 04:38:09.609853,1943-09-01 00:00:00,1943-10-28 05:14:41.602860,1944-03-12 00:00:00,82.23265519583282,64.856728603314224,57,62
1946-02-21 21:12:28.564421,1945-10-03 00:00:00,1945-12-04 22:48:49.558226,1946-04-29 00:00:00,123.23578027155976,104.10251261907807,62,67
1948-03-29 12:35:04.757524,1947-11-03 00:00:00,1948-01-08 13:46:59.585827,1948-06-05 00:00:00,157.61216231947537,138.10196787273338,66,68
1950-05-03 15:53:02.144731,1949-12-07 00:00:00,1950-02-12 05:46:50.190975,1950-07-07 00:00:00,191.04062356856323,172.00309336327942,67,65
1952-06-10 02:45:42.955357,1952-01-22 00:00:00,1952-03-25 11:05:15.974971,1952-08-07 00:00:00,228.47649011767552,211.16520194632707,63,58
1954-07-29 15:19:28.923542,1954-04-01 00:00:00,1954-05-23 12:45:11.695521,1954-09-14 00:00:00,278.53373027094744,265.58655548330808,52,47
1956-10-10 10:06:46.000071,1956-06-29 00:00:00,1956-08-10 16:18:51.559419,1956-11-22 00:00:00,353.65953781875868,343.15018328859162,42,43
1958-12-20 06:47:06.900941,1958-08-18 00:00:00,1958-10-10 09:45:24.467457,1959-02-16 00:00:00,62.536825210519417,46.577274344063412,53,58
1961-02-06 02:51:34.740029,1960-09-21 00:00:00,1960-11-20 17:02:24.056254,1961-04-12 00:00:00,108.65736921174576,89.992296485818898,60,65
1963-03-16 17:22:39.641043,1962-10-22 00:00:00,1962-12-26 06:09:32.085152,1963-05-23 00:00:00,144.79905392626122,125.33245581151395,65,68
1965-04-19 21:56:32.793297,1964-11-23 00:00:00,1965-01-28 22:37:30.090208,1965-06-25 00:00:00,178.05187422132394,158.71488801543489,66,67
1967-05-26 09:30:18.744717,1967-01-02 00:00:00,1967-03-08 17:42:44.514918,1967-07-26 00:00:00,213.19845267611299,194.983606166388,65,61
1969-07-08 06:07:07.951730,1969-03-01 00:00:00,1969-04-27 11:22:42.151381,1969-08-28 00:00:00,256.76122414406393,241.6982894643921,57,51
1971-09-09 13:51:00.539998,1971-05-29 00:00:00,1971-07-11 06:29:40.734577,1971-10-20 00:00:00,321.95771771895295,311.88805002315263,43,41
1973-11-26 00:05:50.365750,1973-08-02 00:00:00,1973-09-19 23:19:08.668152,1974-01-17 00:00:00,39.27858634310634,25.304491209498401,48,52
1976-01-20 21:27:49.103982,1975-09-09 00:00:00,1975-11-06 11:59:37.177757,1976-03-24 00:00:00,92.666469273580788,74.726060786810791,58,64
1978-03-02 09:58:05.790259,1977-10-10 00:00:00,1977-12-12 19:10:47.624900,1978-05-08 00:00:00,131.56529523339432,112.27499720938182,63,67
1980-04-06 08:28:36.807523,1979-11-11 00:00:00,1980-01-16 06:16:08.607800,1980-06-12 00:00:00,165.34700732357075,145.86991439070491,66,67
1982-05-11 18:36:43.023058,1981-12-16 00:00:00,1982-02-20 19:12:05.029655,1982-07-14 00:00:00,199.18401247108207,180.37582243278447,66,64
1984-06-19 18:17:09.980302,1984-02-04 00:00:00,1984-04-05 12:20:14.657303,1984-08-14 00:00:00,238.34875825481043,221.69505819599101,61,56
1986-08-12 07:45:57.422263,1986-04-21 00:00:00,1986-06-08 23:24:56.263058,1986-09-25 00:00:00,293.11803568166943,281.4160062396337,48,44
1988-10-28 05:07:13.771222,1988-07-13 00:00:00,1988-08-26 14:39:17.619295,1988-12-13 00:00:00,11.466481628906882,359.87777692655783,44,46
1991-01-01 12:51:54.561476,1990-08-27 00:00:00,1990-10-20 19:28:50.759046,1991-03-02 00:00:00,74.567837117564423,57.751320218558419,54,60
1993-02-15 07:44:54.115110,1992-09-28 00:00:00,1992-11-28 23:30:23.768068,1993-04-22 00:00:00,117.628904120878,98.674763563066122,61,66
1995-03-24 17:19:49.402535,1994-10-29 00:00:00,1995-01-02 21:26:30.299107,1995-05-31 00:00:00,152.67413887022013,133.16197360819402,65,68
1997-04-27 19:10:35.521563,1996-12-01 00:00:00,1997-02-06 00:36:51.820097,1997-07-02 00:00:00,185.92281287924712,166.73432010207881,67,66
1999-06-04 06:11:33.848859,1999-01-13 00:00:00,1999-03-18 13:39:18.156703,1999-08-02 00:00:00,222.20514532125082,204.44745884846995,64,59
2001-07-19 22:44:56.707501,2001-03-18 00:00:00,2001-05-11 16:06:14.255408,2001-09-06 00:00:00,269.05179797857556,255.10176735322887,54,49
2003-09-27 07:51:41.264326,2003-06-17 00:00:00,2003-07-29 07:36:59.690296,2003-11-08 00:00:00,340.1345146843999,330.11781878426433,42,42
2005-12-10 04:04:45.520541,2005-08-12 00:00:00,2005-10-01 22:03:22.901366,2006-02-03 00:00:00,53.378617289337271,38.235407088669682,50,55
2008-01-30 22:33:47.371016,2007-09-16 00:00:00,2007-11-15 08:23:15.869997,2008-04-04 00:00:00,102.45173922442655,84.072129674671729,60,65
2010-03-10 17:10:22.610039,2009-10-17 00:00:00,2009-12-20 13:24:43.967253,2010-05-17 00:00:00,139.69723292738755,120.29162120183381,64,68
2012-04-14 03:53:55.115062,2011-11-18 00:00:00,2012-01-24 00:53:24.498883,2012-06-19 00:00:00,173.09287196158033,153.68195081134704,67,66
2014-05-20 01:31:30.687767,2013-12-26 00:00:00,2014-03-01 16:22:11.408986,2014-07-21 00:00:00,207.53564967048331,189.02535884918024,65,62
2016-06-29 23:38:19.610727,2016-02-18 00:00:00,2016-04-17 12:12:09.532341,2016-08-22 00:00:00,248.90223014450515,233.05121124965126,59,54
2018-08-27 14:05:07.275110,2018-05-12 00:00:00,2018-06-26 21:03:59.519017,2018-10-08 00:00:00,309.22275585301418,298.60754065930524,45,42
2020-11-14 00:35:45.564360,2020-07-25 00:00:00,2020-09-09 22:22:01.035867,2021-01-02 00:00:00,28.148050121251647,15.233328914595264,46,49
2023-01-12 20:57:06.105342,2022-09-03 00:00:00,2022-10-30 13:24:26.588049,2023-03-16 00:00:00,85.616199163818038,68.124226109790271,57,63
2025-02-24 02:00:14.944278,2024-10-05 00:00:00,2024-12-06 23:32:54.466037,2025-05-02 00:00:00,126.17747746827068,107.01516461098642,62,67
2027-04-01 14:09:46.998080,2026-11-05 00:00:00,2027-01-10 12:57:21.160520,2027-06-08 00:00:00,160.43086136354097,140.92446674486169,66,68
2029-05-05 19:00:33.609883,2028-12-10 00:00:00,2029-02-14 08:14:34.667872,2029-07-09 00:00:00,193.92333791934993,174.92508669904171,66,65
2031-06-13 11:57:00.343179,2031-01-25 00:00:00,2031-03-29 00:34:10.968590,2031-08-10 00:00:00,231.63607389700957,214.43635037989577,63,58
2033-08-01 14:24:32.936670,2033-04-05 00:00:00,2033-05-26 23:46:58.892933,2033-09-16 00:00:00,282.51086326844023,269.78916003534471,51,46
2035-10-15 08:32:47.749808,2035-07-03 00:00:00,2035-08-15 10:00:31.606032,2035-11-28 00:00:00,358.43514483669293,347.75618858085767,43,44
2037-12-23 06:32:37.069343,2037-08-20 00:00:00,2037-10-12 23:08:28.419399,2038-02-19 00:00:00,66.270155043914713,50.126121614542093,53,58
2040-02-09 11:49:36.708651,2039-09-24 00:00:00,2039-11-23 20:46:21.000738,2040-04-15 00:00:00,111.75927755874312,93.027047413739496,60,66
2042-03-18 19:51:07.507551,2041-10-24 00:00:00,2041-12-28 05:37:44.831199,2042-05-25 00:00:00,147.65486156575892,128.17629734397289,65,68
2044-04-21 23:35:38.936546,2043-11-26 00:00:00,2044-01-31 23:09:56.709226,2044-06-26 00:00:00,180.88940802804581,161.57370126162229,66,66
2046-05-28 15:31:52.001403,2046-01-05 00:00:00,2046-03-11 02:09:30.894364,2046-07-28 00:00:00,216.23240510568996,198.10163648164391,65,61
2048-07-10 22:37:43.419229,2048-03-04 00:00:00,2048-04-30 16:50:21.658158,2048-08-31 00:00:00,260.37665507536485,245.51134548938197,57,52
2050-09-13 11:00:16.695966,2050-06-02 00:00:00,2050-07-15 06:01:27.102839,2050-10-24 00:00:00,326.707161227244,316.70911811930358,43,41
2052-11-29 06:20:33.286600,2052-08-05 00:00:00,2052-09-22 19:11:08.130720,2053-01-21 00:00:00,43.387071251242801,29.18838982846216,48,53
2055-01-23 10:03:06.895332,2054-09-11 00:00:00,2054-11-08 18:41:25.992037,2055-03-28 00:00:00,95.910214978380111,77.884473864602683,58,64
2057-03-04 13:33:48.927366,2056-10-12 00:00:00,2056-12-14 20:16:14.918043,2057-05-11 00:00:00,134.47535865164036,115.15807989416177,63,68
2059-04-09 09:48:36.912034,2058-11-13 00:00:00,2059-01-18 05:56:40.075159,2059-06-15 00:00:00,168.16070564266806,148.69225263371976,66,67
2061-05-13 21:40:11.956449,2060-12-19 00:00:00,2061-02-22 22:43:13.636016,2061-07-16 00:00:00,202.0758505780426,183.31358662798667,65,64
2063-06-23 04:41:12.533452,2063-02-07 00:00:00,2063-04-09 06:13:54.398527,2063-08-17 00:00:00,241.61179228059842,225.09502037346749,61,55
2065-08-15 14:42:17.525283,2065-04-26 00:00:00,2065-06-12 20:00:25.900474,2065-09-28 00:00:00,297.39080836181711,285.92235801623883,47,44
2067-11-02 02:55:00.920205,2067-07-17 00:00:00,2067-08-31 00:17:33.466521,2067-12-19 00:00:00,16.101752404740964,4.2693685878248662,45,47
2070-01-04 08:14:35.101987,2069-08-29 00:00:00,2069-10-23 06:13:28.803004,2070-03-06 00:00:00,78.068632001975459,61.121207627088729,55,61
2072-02-18 12:42:55.056574,2071-10-01 00:00:00,2071-12-02 01:25:07.029030,2072-04-25 00:00:00,120.58977480319264,101.59748168306136,62,67
2074-03-26 18:10:51.703169,2073-10-31 00:00:00,2074-01-04 20:59:46.657726,2074-06-02 00:00:00,155.47324762320503,135.96054692951387,65,68
2076-04-29 20:55:19.020485,2075-12-04 00:00:00,2076-02-09 02:06:57.777391,2076-07-04 00:00:00,188.75612095616816,169.59869553008591,67,66
2078-06-06 12:49:46.202448,2078-01-16 00:00:00,2078-03-21 00:42:20.134519,2078-08-04 00:00:00,225.2725572199034,207.61053808162188,64,59
2080-07-22 17:04:22.430072,2080-03-21 00:00:00,2080-05-14 22:19:45.428837,2080-09-09 00:00:00,272.81855383997674,259.08640587680935,54,49
2082-10-01 04:11:43.042623,2082-06-21 00:00:00,2082-08-02 04:14:38.659104,2082-11-12 00:00:00,344.93872016925962,334.84566519847414,42,42
2084-12-13 07:35:55.006870,2084-08-14 00:00:00,2084-10-04 14:30:50.508037,2085-02-07 00:00:00,57.274985625952397,41.92994931744385,51,56
2087-02-02 08:59:17.773136,2086-09-18 00:00:00,2086-11-17 14:07:15.247177,2087-04-08 00:00:00,105.63807008536206,87.182446411822013,60,65
2089-03-12 19:36:19.555208,2088-10-19 00:00:00,2088-12-22 14:06:43.017565,2089-05-19 00:00:00,142.58155799909588,123.1544369867034,64,68
2091-04-17 04:39:44.505368,2090-11-20 00:00:00,2091-01-26 01:33:39.740577,2091-06-22 00:00:00,175.91349714792631,156.51817147059157,67,66
2093-05-22 05:59:52.391139,2092-12-28 00:00:00,2093-03-03 23:49:30.439563,2093-07-23 00:00:00,210.51662553553916,192.07162465722413,65,62
2095-07-03 12:48:12.346635,2095-02-21 00:00:00,2095-04-21 13:01:17.706608,2095-08-25 00:00:00,252.37147014177455,236.70094662316629,59,53
2097-08-31 06:57:07.912457,2097-05-17 00:00:00,2097-06-30 22:44:23.238355,2097-10-12 00:00:00,313.80666788796321,303.36415657271573,44,42
2099-11-18 11:44:40.391042,2099-07-29 00:00:00,2099-09-13 23:00:46.516330,2100-01-07 00:00:00,32.496522953489297,19.338657701269472,46,50
2102-01-16 11:14:23.818452,2101-09-06 00:00:00,2101-11-02 22:07:53.962419,2102-03-20 00:00:00,88.965289029266742,71.366468920475924,57,63
2104-02-28 05:29:28.366695,2103-10-09 00:00:00,2103-12-11 01:31:37.229582,2104-05-05 00:00:00,129.11547872105686,109.92580799205754,63,67
2106-04-04 14:39:39.380710,2105-11-08 00:00:00,2106-01-13 13:11:38.553749,2106-06-11 00:00:00,163.24510893892625,143.74195160297714,66,68
2108-05-08 20:08:16.856300,2107-12-14 00:00:00,2108-02-18 11:01:50.685530,2108-07-12 00:00:00,196.76622077512792,177.80368276161272,66,65
2110-06-16 18:58:47.290477,2110-01-29 00:00:00,2110-04-01 14:49:24.013348,2110-08-12 00:00:00,234.77667111490047,217.68156969866351,62,57
2112-08-05 15:12:06.947042,2112-04-11 00:00:00,2112-05-31 13:43:37.043942,2112-09-20 00:00:00,286.52119558440381,274.04861849242832,50,46
2114-10-20 09:26:00.296230,2114-07-08 00:00:00,2114-08-20 01:56:02.089228,2114-12-03 00:00:00,3.2025978359714737,352.33213632909366,43,44
2116-12-27 05:31:05.457233,2116-08-24 00:00:00,2116-10-16 13:04:25.128880,2117-02-24 00:00:00,69.924408624919991,53.621682631410664,53,59
2119-02-12 17:47:59.358848,2118-09-26 00:00:00,2118-11-27 00:28:01.044282,2119-04-19 00:00:00,114.7993615920616,96.015385917373038,62,66
2121-03-21 20:08:13.477650,2120-10-27 00:00:00,2120-12-31 06:03:57.123271,2121-05-28 00:00:00,150.48239196349849,130.99645330414705,65,68
2123-04-26 00:10:32.468533,2122-11-29 00:00:00,2123-02-04 00:52:12.871778,2123-06-30 00:00:00,183.71422759744948,164.4355175045653,67,65
2125-05-31 20:17:36.689931,2125-01-08 00:00:00,2125-03-14 11:47:44.657310,2125-07-31 00:00:00,219.25598416863517,201.20218477256043,65,61
2127-07-15 13:34:05.765826,2127-03-10 00:00:00,2127-05-05 18:24:36.708792,2127-09-04 00:00:00,263.96324209188606,249.2939885337035,56,51
2129-09-18 05:24:36.720939,2129-06-07 00:00:00,2129-07-20 03:44:30.691558,2129-10-29 00:00:00,331.42864166578545,321.46378886912714,43,41
2131-12-04 13:48:05.499403,2131-08-09 00:00:00,2131-09-27 15:43:08.200946,2132-01-27 00:00:00,47.469495902828754,33.040823398257267,49,54
2134-01-26 21:32:34.092886,2133-09-14 00:00:00,2133-11-12 01:54:13.116801,2134-04-01 00:00:00,99.163486079283203,81.041346024181991,59,65
2136-03-07 15:57:18.129414,2135-10-15 00:00:00,2135-12-18 21:45:36.829199,2136-05-14 00:00:00,137.39115571329231,118.04432800072071,64,68
2138-04-12 09:31:59.421138,2137-11-15 00:00:00,2138-01-21 07:01:16.436607,2138-06-18 00:00:00,170.98208320900514,151.52343924707836,67,67
2140-05-16 23:46:17.833155,2139-12-23 00:00:00,2140-02-27 04:41:53.456050,2140-07-19 00:00:00,205.00127944445907,186.296808029289,66,64
2142-06-26 14:43:10.678769,2142-02-11 00:00:00,2142-04-13 02:50:25.192811,2142-08-20 00:00:00,244.95533380175954,228.58631443900398,61,55
2144-08-20 01:52:55.888033,2144-05-01 00:00:00,2144-06-17 20:43:04.555973,2144-10-02 00:00:00,301.7529883002037,290.52181085770644,47,43
2146-11-06 19:37:42.445614,2146-07-21 00:00:00,2146-09-04 06:01:45.466738,2146-12-24 00:00:00,20.644773046405668,8.5689250530130714,45,48
2149-01-08 00:51:13.545362,2148-09-01 00:00:00,2148-10-26 17:15:57.864614,2149-03-10 00:00:00,81.523562655978864,64.442715515719655,55,61
2151-02-21 17:02:36.140992,2150-10-03 00:00:00,2150-12-05 04:30:38.368690,2151-04-29 00:00:00,123.57542143150225,104.53991443349719,63,67
2153-03-29 18:17:15.775635,2152-11-03 00:00:00,2153-01-07 21:57:26.480915,2153-06-05 00:00:00,158.3014880147513,138.78721800805462,65,68
2155-05-03 20:55:32.724938,2154-12-07 00:00:00,2155-02-12 05:08:48.524248,2155-07-07 00:00:00,191.5974428548929,172.47047259373565,67,65
2157-06-09 17:52:54.511587,2157-01-20 00:00:00,2157-03-24 12:55:08.925720,2157-08-07 00:00:00,228.36024339842123,210.78730241259279,63,59
2159-07-27 13:31:28.122162,2159-03-27 00:00:00,2159-05-20 05:48:52.237403,2159-09-13 00:00:00,276.62780292886464,263.13222969621006,54,48
2161-10-06 04:43:44.694845,2161-06-25 00:00:00,2161-08-07 02:44:07.268592,2161-11-17 00:00:00,349.78623689513319,339.59298199258984,43,42
2163-12-18 11:01:01.030492,2163-08-18 00:00:00,2163-10-09 08:21:54.037438,2164-02-13 00:00:00,61.11868678861785,45.579139397169982,52,57
2166-02-05 16:05:46.851672,2165-09-21 00:00:00,2165-11-20 18:50:21.129256,2166-04-12 00:00:00,108.74269727235846,90.213787543830094,60,66
2168-03-15 19:55:15.980733,2167-10-22 00:00:00,2167-12-26 14:45:22.296327,2168-05-22 00:00:00,145.4100937806428,125.96824048727987,65,68
2170-04-20 04:15:16.220963,2169-11-23 00:00:00,2170-01-29 03:16:12.226495,2170-06-25 00:00:00,178.71881772483732,159.343768957999,67,66
2172-05-25 08:26:50.132870,2172-01-02 00:00:00,2172-03-07 07:36:30.568851,2172-07-26 00:00:00,213.47132044529482,195.09843518368564,65,62
2174-07-07 00:35:10.158624,2174-02-25 00:00:00,2174-04-25 10:42:20.187312,2174-08-28 00:00:00,255.81068624117688,240.31305590776128,59,52
2176-09-04 21:52:29.665181,2176-05-22 00:00:00,2176-07-05 19:42:46.461669,2176-10-16 00:00:00,318.38007495094558,308.06136693774567,44,42
2178-11-22 22:56:01.194656,2178-08-01 00:00:00,2178-09-17 23:17:44.998820,2179-01-13 00:00:00,36.776118250664709,23.366044273205308,47,52
2181-01-19 00:36:11.706580,2180-09-08 00:00:00,2180-11-05 06:37:52.411964,2181-03-22 00:00:00,92.314536038024357,74.603171474812029,58,62
2183-03-02 09:02:33.959808,2182-10-10 00:00:00,2182-12-13 03:33:17.020740,2183-05-08 00:00:00,132.07088970247872,112.84302182891156,64,67
2185-04-06 14:12:56.233148,2184-11-10 00:00:00,2185-01-15 14:22:29.877106,2185-06-13 00:00:00,166.06005838346519,146.56039917715523,66,68
2187-05-11 21:07:08.030165,2186-12-16 00:00:00,2187-02-20 16:12:10.161589,2187-07-14 00:00:00,199.66001819578898,180.73924724439431,66,64
2189-06-19 03:19:30.964647,2189-02-01 00:00:00,2189-04-04 08:32:50.072256,2189-08-14 00:00:00,238.02850501442273,221.06827346567215,62,56
2191-08-09 21:09:48.263325,2191-04-16 00:00:00,2191-06-05 09:33:43.554171,2191-09-24 00:00:00,290.66334631015093,278.45070546052892,50,46
2193-10-24 08:19:47.686479,2193-07-11 00:00:00,2193-08-23 14:11:10.168137,2193-12-08 00:00:00,7.9636310090478961,356.88911308570698,43,45
2195-12-31 01:42:16.348299,2195-08-27 00:00:00,2195-10-20 03:01:11.709495,2196-02-28 00:00:00,73.550907911037569,57.090432698002928,54,59
2198-02-14 23:12:49.059739,2197-09-28 00:00:00,2197-11-29 03:34:07.352030,2198-04-22 00:00:00,117.84361773235449,99.005074533210916,62,67
2200-03-24 20:39:29.968035,2199-10-29 00:00:00,2200-01-03 06:42:16.245575,2200-05-31 00:00:00,153.32149577109104,133.8265851711316,66,68
2202-04-28 23:36:29.445418,2201-12-02 00:00:00,2202-02-07 03:34:22.810152,2202-07-03 00:00:00,186.53215833182335,167.27150847907228,67,66
2204-06-03 23:09:46.501113,2204-01-13 00:00:00,2204-03-17 21:29:01.468269,2204-08-03 00:00:00,222.25136722137822,204.26958370404722,64,61
2206-07-19 05:47:23.881590,2206-03-15 00:00:00,2206-05-09 20:28:08.530629,2206-09-07 00:00:00,267.56954675814552,253.10806259310661,55,50
