,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1916-04-10 13:13:09.734683,1915-07-15 00:00:00,1915-11-05 23:53:22.697275,1916-08-02 00:00:00,122.67473950384806,119.86779396628144,113,114
1917-04-13 01:02:04.437509,1916-07-17 00:00:00,1916-11-07 10:38:58.102876,1917-08-04 00:00:00,124.89184532404362,122.08722967941556,113,113
1918-04-15 12:00:56.439919,1917-07-20 00:00:00,1917-11-09 22:27:38.306108,1918-08-07 00:00:00,127.11026567382572,124.30702712926795,112,114
1919-04-18 01:28:25.933346,1918-07-22 00:00:00,1918-11-12 09:19:48.712451,1919-08-09 00:00:00,129.32833741472803,126.52669498810857,113,113
1920-04-19 13:36:10.496662,1919-07-25 00:00:00,1919-11-14 21:39:50.768468,1920-08-11 00:00:00,131.54605720815772,128.74463385662585,112,114
1921-04-22 02:06:27.734299,1920-07-26 00:00:00,1920-11-16 08:23:55.949801,1921-08-13 00:00:00,133.76151288568752,130.96079222447327,113,113
1922-04-24 15:20:43.865456,1921-07-29 00:00:00,1921-11-18 20:56:08.793084,1922-08-16 00:00:00,135.97466599491804,133.17351020841247,112,114
1923-04-27 02:18:19.016197,1922-07-31 00:00:00,1922-11-21 06:46:02.174967,1923-08-19 00:00:00,138.18441968894595,135.38316574807595,113,114
1924-04-28 15:23:20.953289,1923-08-03 00:00:00,1923-11-23 16:51:31.596332,1924-08-20 00:00:00,140.39075228049916,137.58897428078882,112,114
1925-05-01 01:21:10.822558,1924-08-04 00:00:00,1924-11-25 02:48:30.178294,1925-08-23 00:00:00,142.59366833145256,139.79179053336898,113,114
1926-05-03 13:13:52.234316,1925-08-06 00:00:00,1925-11-27 12:23:08.940784,1926-08-25 00:00:00,144.79378439834625,141.99208668565575,113,114
1927-05-05 23:54:33.440698,1926-08-09 00:00:00,1926-11-29 23:01:47.871804,1927-08-28 00:00:00,146.99223549834514,144.19080583699426,112,115
1928-05-07 12:32:01.223317,1927-08-11 00:00:00,1927-12-02 08:54:59.286477,1928-08-29 00:00:00,149.18927091183409,146.38989760018939,113,114
