,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1916-03-15 16:59:39.861984,1915-06-04 00:00:00,1915-10-04 14:43:41.659146,1916-07-15 00:00:00,93.319353508080582,91.235215674750549,122,122
1917-03-16 23:11:29.713635,1916-06-04 00:00:00,1916-10-05 01:21:32.952450,1917-07-16 00:00:00,94.420010755888669,92.330141688027936,123,122
1918-03-18 06:20:16.248952,1917-06-06 00:00:00,1917-10-06 12:10:16.365232,1918-07-18 00:00:00,95.530792258505571,93.434848391455148,122,122
1919-03-19 17:32:37.959065,1918-06-07 00:00:00,1918-10-07 19:13:16.389841,1919-07-19 00:00:00,96.651138985244017,94.548170384248579,122,122
1920-03-20 02:45:49.867520,1919-06-09 00:00:00,1919-10-09 04:04:09.676432,1920-07-19 00:00:00,97.780217656647267,95.669920000810791,122,121
1921-03-21 09:58:33.224428,1920-06-09 00:00:00,1920-10-09 14:26:54.284000,1921-07-20 00:00:00,98.918224450152238,96.799754061239383,122,121
1922-03-22 18:40:42.266634,1921-06-11 00:00:00,1921-10-11 01:05:31.585618,1922-07-22 00:00:00,100.06436200057119,97.9374870649782,122,122
1923-03-24 02:06:55.924054,1922-06-12 00:00:00,1922-10-12 14:05:39.647518,1923-07-23 00:00:00,101.21940881985743,99.083971305301375,122,121
1924-03-24 12:42:32.547122,1923-06-14 00:00:00,1923-10-14 00:01:09.550784,1924-07-23 00:00:00,102.38378003570769,100.23976083512163,122,121
1925-03-25 23:06:52.178349,1924-06-14 00:00:00,1924-10-14 09:40:33.150188,1925-07-25 00:00:00,103.55838670481943,101.40583433115175,122,122
1926-03-27 08:07:34.373147,1925-06-16 00:00:00,1925-10-15 20:16:51.362098,1926-07-26 00:00:00,104.7448053870591,102.58422605135171,121,121
1927-03-28 16:03:05.377799,1926-06-18 00:00:00,1926-10-17 08:51:40.690261,1927-07-27 00:00:00,105.94378571389902,103.77539319287388,121,121
1928-03-28 23:45:40.753176,1927-06-19 00:00:00,1927-10-18 23:12:03.179380,1928-07-27 00:00:00,107.15739804902859,104.98099700092763,121,121
1929-03-30 11:51:24.880825,1928-06-20 00:00:00,1928-10-19 12:05:52.911882,1929-07-29 00:00:00,108.38590977252093,106.20201069133181,121,121
1930-03-31 23:38:35.022154,1929-06-22 00:00:00,1929-10-21 02:05:56.255742,1930-07-30 00:00:00,109.63035029620269,107.43800765080857,121,121
1931-04-02 11:19:47.887714,1930-06-24 00:00:00,1930-10-22 13:33:05.921937,1931-07-31 00:00:00,110.89079243870847,108.6895249243379,120,120
1932-04-02 22:58:06.399296,1931-06-25 00:00:00,1931-10-24 01:48:39.776787,1932-07-31 00:00:00,112.16612630502397,109.95493958339307,121,120
1933-04-04 07:30:09.803563,1932-06-26 00:00:00,1932-10-24 17:44:08.057910,1933-08-02 00:00:00,113.45635616185186,111.23458995605972,120,120
1934-04-05 19:24:28.871294,1933-06-28 00:00:00,1933-10-26 08:09:31.887816,1934-08-03 00:00:00,114.7607094762498,112.52781855318652,120,120
1935-04-07 07:57:24.965152,1934-06-30 00:00:00,1934-10-28 00:33:23.135694,1935-08-05 00:00:00,116.07948004001416,113.83518375974333,120,120
1936-04-07 23:25:11.244237,1935-07-01 00:00:00,1935-10-29 14:16:33.907085,1936-08-05 00:00:00,117.41305094563097,115.15683707399558,120,120
1937-04-09 13:43:18.401161,1936-07-02 00:00:00,1936-10-30 05:18:01.874268,1937-08-07 00:00:00,118.76191577206028,116.49422904628381,120,120
1938-04-11 01:53:07.349490,1937-07-04 00:00:00,1937-10-31 20:06:58.956710,1938-08-08 00:00:00,120.12780025852781,117.84855820014096,119,119
1939-04-12 15:15:36.646858,1938-07-06 00:00:00,1938-11-02 12:20:36.207880,1939-08-09 00:00:00,121.51141835996108,119.22104611630256,119,119
1940-04-13 03:16:52.147869,1939-07-08 00:00:00,1939-11-04 08:06:56.012022,1940-08-10 00:00:00,122.91501762487853,120.61373589124372,119,119
1941-04-14 18:28:38.922053,1940-07-09 00:00:00,1940-11-05 01:30:59.706155,1941-08-11 00:00:00,124.33997824954417,122.02780755630853,119,119
1942-04-16 11:03:14.334697,1941-07-11 00:00:00,1941-11-06 20:43:31.748282,1942-08-12 00:00:00,125.78755021417425,123.46421885899467,118,118
1943-04-18 03:03:26.689407,1942-07-13 00:00:00,1942-11-08 14:39:43.417377,1943-08-14 00:00:00,127.25805917073069,124.92313951381179,118,118
1944-04-18 19:19:42.310305,1943-07-15 00:00:00,1943-11-10 08:59:51.951425,1944-08-14 00:00:00,128.7513896130242,126.40401333166395,118,118
1945-04-20 10:19:32.968279,1944-07-16 00:00:00,1944-11-11 05:11:29.996442,1945-08-16 00:00:00,130.2678480809206,127.9074838904323,118,118
1946-04-22 03:52:59.914957,1945-07-18 00:00:00,1945-11-13 01:56:29.402028,1946-08-17 00:00:00,131.80707546276363,129.43311651660633,118,117
1947-04-23 20:51:43.491443,1946-07-20 00:00:00,1946-11-15 00:44:07.822864,1947-08-19 00:00:00,133.36944894619205,130.98105826027736,118,118
1948-04-24 17:03:09.175562,1947-07-23 00:00:00,1947-11-16 21:40:50.711795,1948-08-20 00:00:00,134.95534529635671,132.55255671042806,116,118
1949-04-26 14:01:19.573058,1948-07-24 00:00:00,1948-11-17 20:12:40.482281,1949-08-21 00:00:00,136.56491143435588,134.14782320927179,116,117
1950-04-28 08:35:55.797350,1949-07-26 00:00:00,1949-11-19 18:15:25.847056,1950-08-23 00:00:00,138.19987131949543,135.768605610072,116,117
1951-04-30 05:15:09.203514,1950-07-28 00:00:00,1950-11-21 15:51:46.740638,1951-08-24 00:00:00,139.86117946553378,137.41603505965153,116,116
1952-04-30 23:18:46.843840,1951-07-30 00:00:00,1951-11-23 16:28:34.746924,1952-08-25 00:00:00,141.55072777471159,139.09157571094121,116,117
1953-05-02 20:24:59.022966,1952-08-01 00:00:00,1952-11-24 17:07:13.294129,1953-08-27 00:00:00,143.26994545642407,140.79725756152999,115,117
1954-05-04 17:54:01.196531,1953-08-03 00:00:00,1953-11-26 20:46:22.186107,1954-08-28 00:00:00,145.01998165434904,142.5333432733814,115,116
1955-05-06 18:36:53.339906,1954-08-06 00:00:00,1954-11-28 23:44:34.003794,1955-08-30 00:00:00,146.80105718914663,144.30009992847394,114,116
1956-05-07 20:04:44.578343,1955-08-08 00:00:00,1955-12-01 04:42:59.159694,1956-08-31 00:00:00,148.61272795228058,146.09710290038421,115,116
1957-05-09 19:52:53.998870,1956-08-10 00:00:00,1956-12-02 07:09:32.112132,1957-09-02 00:00:00,150.45552930529487,147.92456452658379,114,116
1958-05-11 22:00:55.384994,1957-08-12 00:00:00,1957-12-04 10:23:46.017450,1958-09-03 00:00:00,152.32873085450939,149.78207610686906,114,115
1959-05-13 21:50:32.166953,1958-08-15 00:00:00,1958-12-06 15:37:58.578662,1959-09-05 00:00:00,154.23277917464651,151.66976496565206,113,115
1960-05-15 00:47:36.913150,1959-08-17 00:00:00,1959-12-08 20:24:34.631811,1960-09-06 00:00:00,156.16739685056575,153.58841359944248,113,114
1961-05-17 04:28:07.371178,1960-08-19 00:00:00,1960-12-10 04:41:33.048106,1961-09-08 00:00:00,158.13308994889374,155.53815959795472,113,114
1962-05-19 09:46:31.361224,1961-08-21 00:00:00,1961-12-12 12:01:18.029520,1962-09-10 00:00:00,160.13116569572935,157.52065993648014,113,114
1963-05-21 15:48:30.361615,1962-08-24 00:00:00,1962-12-14 21:51:10.837970,1963-09-12 00:00:00,162.16253232798985,159.53707860915705,112,114
1964-05-22 21:34:12.000556,1963-08-27 00:00:00,1963-12-17 07:07:04.614814,1964-09-13 00:00:00,164.22849977937847,161.58955938169228,112,114
1965-05-25 05:17:31.958784,1964-08-28 00:00:00,1964-12-18 18:32:46.163975,1965-09-15 00:00:00,166.33100669562424,163.67932173345926,112,113
1966-05-27 11:02:34.581242,1965-08-31 00:00:00,1965-12-21 04:59:01.517079,1966-09-17 00:00:00,168.47080755192363,165.80657825984628,112,113
1967-05-29 20:21:27.311807,1966-09-03 00:00:00,1966-12-23 15:30:11.532896,1967-09-19 00:00:00,170.64787544069162,167.97103764903645,111,113
1968-05-31 03:57:10.969712,1967-09-06 00:00:00,1967-12-26 04:40:22.375208,1968-09-20 00:00:00,172.86139299106463,170.17193412474427,111,112
1969-06-02 14:01:18.128665,1968-09-08 00:00:00,1968-12-27 17:01:17.807516,1969-09-22 00:00:00,175.11039843344366,172.40806048878915,110,112
1970-06-05 02:27:56.912282,1969-09-11 00:00:00,1969-12-30 08:12:05.595835,1970-09-25 00:00:00,177.39298379415766,174.67771510881681,110,112
1971-06-07 15:28:12.529002,1970-09-14 00:00:00,1971-01-01 22:06:36.871146,1971-09-27 00:00:00,179.70799160258619,176.97936665813489,109,112
1972-06-09 06:00:12.619928,1971-09-16 00:00:00,1972-01-04 14:53:07.323645,1972-09-28 00:00:00,182.05300007424256,179.31174163360893,110,111
1973-06-11 20:22:50.537596,1972-09-18 00:00:00,1973-01-06 07:05:06.850844,1973-10-01 00:00:00,184.42697560239026,181.67328789967652,110,112
1974-06-14 13:22:22.548620,1973-09-21 00:00:00,1974-01-09 01:03:04.371269,1974-10-03 00:00:00,186.82837629828202,184.06324376084095,110,111
1975-06-17 04:07:45.589068,1974-09-24 00:00:00,1975-01-11 17:44:29.740726,1975-10-06 00:00:00,189.25669528175405,186.48098274748349,109,111
1976-06-18 21:42:26.592070,1975-09-27 00:00:00,1976-01-14 11:40:23.729949,1976-10-07 00:00:00,191.71050587239864,188.92605844154596,109,111
1977-06-21 13:14:24.415486,1976-09-29 00:00:00,1977-01-16 07:01:12.717388,1977-10-10 00:00:00,194.19058697004132,191.39882270675247,109,111
1978-06-24 07:31:16.448354,1977-10-02 00:00:00,1978-01-19 00:44:06.739315,1978-10-12 00:00:00,196.69576363415089,193.8981054866384,109,110
1979-06-27 01:18:44.266065,1978-10-05 00:00:00,1979-01-21 20:44:00.883030,1979-10-15 00:00:00,199.2250765499063,196.42176205294001,108,110
1980-06-28 20:05:11.651965,1979-10-08 00:00:00,1980-01-24 15:47:44.411277,1980-10-16 00:00:00,201.77585734258514,198.96789973237784,108,110
1981-07-01 16:10:16.935554,1980-10-10 00:00:00,1981-01-26 12:54:14.670494,1981-10-19 00:00:00,204.3457371750624,201.53363275554335,108,110
1982-07-04 13:12:20.116431,1981-10-13 00:00:00,1982-01-29 08:27:00.717482,1982-10-22 00:00:00,206.93148951345893,204.11573950616872,108,110
1983-07-07 11:30:20.478970,1982-10-16 00:00:00,1983-02-01 06:02:23.250674,1983-10-25 00:00:00,209.5295690490702,206.71037041163419,108,110
1984-07-09 08:28:50.971740,1983-10-19 00:00:00,1984-02-04 02:16:09.997675,1984-10-26 00:00:00,212.13654961169698,209.3145011045882,108,109
1985-07-12 08:44:47.942787,1984-10-21 00:00:00,1985-02-06 00:11:31.402963,1985-10-29 00:00:00,214.74862147661267,211.92421823411075,108,109
1986-07-15 06:34:53.179955,1985-10-24 00:00:00,1986-02-08 20:28:46.265123,1986-11-01 00:00:00,217.36299118698312,214.5364903073399,107,109
1987-07-18 06:14:58.680019,1986-10-27 00:00:00,1987-02-11 17:03:47.531888,1987-11-04 00:00:00,219.97548991255786,217.14876596196132,107,109
1988-07-20 04:20:01.598136,1987-10-30 00:00:00,1988-02-14 14:53:56.761886,1988-11-06 00:00:00,222.58502503717992,219.75925737349436,107,109
1989-07-23 03:51:57.291070,1988-11-01 00:00:00,1989-02-16 09:50:21.573931,1989-11-09 00:00:00,225.18948384891229,222.36655619254662,107,109
1990-07-26 01:23:08.200787,1989-11-04 00:00:00,1990-02-19 06:29:18.024837,1990-11-12 00:00:00,227.78751243336274,224.96851420154763,107,109
1991-07-28 23:42:04.495690,1990-11-06 00:00:00,1991-02-22 01:23:51.428813,1991-11-15 00:00:00,230.3772166830384,227.56316288456003,108,110
1992-07-30 21:27:05.737978,1991-11-09 00:00:00,1992-02-24 21:29:49.001544,1992-11-17 00:00:00,232.95677035768512,230.14815158488588,107,110
1993-08-02 19:23:07.471853,1992-11-11 00:00:00,1993-02-26 14:27:39.353820,1993-11-20 00:00:00,235.52285994901897,232.72077675271922,107,110
1994-08-05 17:03:35.511530,1993-11-14 00:00:00,1994-03-01 09:58:15.907144,1994-11-23 00:00:00,238.0731957034815,235.27758811255924,107,110
1995-08-08 13:31:57.987741,1994-11-16 00:00:00,1995-03-04 02:33:15.807054,1995-11-26 00:00:00,240.60501935714731,237.81627590150478,108,110
1996-08-10 12:32:47.064573,1995-11-19 00:00:00,1996-03-05 20:19:40.202592,1996-11-28 00:00:00,243.11577271935832,240.3338096252964,107,110
1997-08-13 08:32:23.548715,1996-11-20 00:00:00,1997-03-08 12:59:04.635454,1997-12-01 00:00:00,245.6027285957002,242.82783980057286,108,110
1998-08-16 06:09:32.108719,1997-11-23 00:00:00,1998-03-11 04:57:51.915376,1998-12-04 00:00:00,248.06344292877421,245.29617456702155,108,110
1999-08-19 01:46:46.283161,1998-11-25 00:00:00,1999-03-13 21:35:44.555508,1999-12-06 00:00:00,250.49716837654012,247.73768250777667,108,109
2000-08-20 22:42:50.656752,1999-11-28 00:00:00,2000-03-15 11:51:22.726476,2000-12-08 00:00:00,252.90217540224637,250.15184820227009,108,110
2001-08-23 16:06:43.454435,2000-11-29 00:00:00,2001-03-18 02:38:23.479542,2001-12-11 00:00:00,255.27932624946527,252.53943126254683,109,110
2002-08-26 10:58:18.429819,2001-12-01 00:00:00,2002-03-20 14:53:51.344495,2002-12-14 00:00:00,257.6288748010067,254.90059651049773,109,110
2003-08-29 03:31:19.245936,2002-12-04 00:00:00,2003-03-23 05:10:43.152307,2003-12-17 00:00:00,259.95114929293396,257.23519776369471,109,110
2004-08-30 19:35:11.989171,2003-12-06 00:00:00,2004-03-24 15:08:27.402730,2004-12-19 00:00:00,262.24673409708771,259.54338372837333,109,111
2005-09-02 10:50:08.970698,2004-12-07 00:00:00,2005-03-27 02:29:20.525548,2005-12-21 00:00:00,264.51475410871933,261.82443423194991,110,110
2006-09-04 23:20:51.793833,2005-12-10 00:00:00,2006-03-29 12:43:47.883932,2006-12-24 00:00:00,266.75528079563912,264.07735966859059,109,111
2007-09-07 14:54:26.127479,2006-12-12 00:00:00,2007-03-31 22:45:40.030817,2007-12-27 00:00:00,268.96711406888545,266.30171012334938,109,111
2008-09-09 03:14:11.864508,2007-12-14 00:00:00,2008-04-02 09:24:05.246745,2008-12-29 00:00:00,271.14922541417366,268.49599879235814,110,111
2009-09-11 16:58:17.149833,2008-12-15 00:00:00,2009-04-04 17:35:50.648999,2009-12-31 00:00:00,273.30078973881496,270.65882858109194,110,111
2010-09-14 04:36:51.640795,2009-12-17 00:00:00,2010-04-07 02:34:08.231565,2011-01-03 00:00:00,275.42041145388447,272.78974498709152,111,111
2011-09-16 18:23:19.649519,2010-12-19 00:00:00,2011-04-09 08:49:45.410739,2012-01-06 00:00:00,277.50766637454535,274.88786010296241,111,112
2012-09-18 05:05:55.589244,2011-12-21 00:00:00,2012-04-10 16:21:45.282451,2013-01-07 00:00:00,279.56281180089792,276.95417875966081,111,111
2013-09-20 15:26:41.721640,2012-12-22 00:00:00,2013-04-12 19:34:49.767940,2014-01-10 00:00:00,281.58665579020817,278.98970203227401,111,112
2014-09-23 00:35:43.392357,2013-12-24 00:00:00,2014-04-14 23:47:09.038817,2015-01-12 00:00:00,283.58041400987469,280.99596564218564,111,111
2015-09-25 06:57:18.824516,2014-12-26 00:00:00,2015-04-17 03:56:03.431567,2016-01-15 00:00:00,285.5460045258996,282.97477375617024,112,112
