,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1916-03-11 13:51:56.089502,1915-07-27 00:00:00,1915-10-29 22:58:11.018854,1916-06-14 00:00:00,106.50857228343469,99.543651655216308,94,95
1917-03-26 01:53:38.666581,1916-08-09 00:00:00,1916-11-12 05:10:00.816496,1917-06-29 00:00:00,120.60354690849174,113.65381007442812,95,95
1918-04-09 13:32:32.827631,1917-08-23 00:00:00,1917-11-26 04:38:06.582130,1918-07-14 00:00:00,134.54104490952196,127.61343810801853,95,96
1919-04-23 21:10:16.231142,1918-09-06 00:00:00,1918-12-09 21:31:25.237502,1919-07-29 00:00:00,148.251642796086,141.35108277086283,94,97
1920-05-07 00:04:27.881640,1919-09-19 00:00:00,1919-12-23 08:07:31.684081,1920-08-12 00:00:00,161.68084323826889,154.81423680538427,95,97
1921-05-20 21:37:05.158569,1920-10-01 00:00:00,1921-01-04 10:51:55.688987,1921-08-26 00:00:00,174.8012786622194,167.96968980568613,95,98
1922-06-03 13:06:58.501778,1921-10-14 00:00:00,1922-01-17 05:56:44.537388,1922-09-09 00:00:00,187.60623175275106,180.81315275996596,95,98
1923-06-16 21:41:23.917239,1922-10-26 00:00:00,1923-01-29 18:44:49.296914,1923-09-22 00:00:00,200.11064816445398,193.35453852138903,95,98
1924-06-29 00:43:35.204928,1923-11-07 00:00:00,1924-02-11 01:16:25.248193,1924-10-05 00:00:00,212.33673101073796,205.61698513248282,96,98
1925-07-11 21:17:09.701548,1924-11-18 00:00:00,1925-02-22 04:52:40.527593,1925-10-18 00:00:00,224.31440584049494,217.62480178910283,96,99
1926-07-24 09:37:59.445990,1925-11-30 00:00:00,1926-03-06 04:52:57.893802,1926-10-30 00:00:00,236.07725384514325,229.41360038193466,96,98
1927-08-05 18:58:02.232115,1926-12-11 00:00:00,1927-03-18 00:48:33.619684,1927-11-11 00:00:00,247.66733304704536,241.02207362538235,97,98
1928-08-17 00:17:08.677718,1927-12-23 00:00:00,1928-03-28 20:37:03.241388,1928-11-22 00:00:00,259.13168802931443,252.49891265077238,96,97
1929-08-29 00:56:53.893105,1929-01-02 00:00:00,1929-04-09 16:02:15.442327,1929-12-04 00:00:00,270.51920285325377,263.8928468929833,97,97
1930-09-09 23:54:18.974763,1930-01-14 00:00:00,1930-04-21 14:30:52.933738,1930-12-16 00:00:00,281.88354888184818,275.25661300436497,97,98
1931-09-21 19:53:34.202394,1931-01-26 00:00:00,1931-05-03 14:27:34.465409,1931-12-27 00:00:00,293.27865323275091,286.64618412162861,97,97
1932-10-02 17:38:23.530424,1932-02-07 00:00:00,1932-05-14 16:46:59.080345,1933-01-07 00:00:00,304.76027657840598,298.11482110084319,97,97
1933-10-14 17:13:09.462316,1933-02-18 00:00:00,1933-05-27 02:18:53.054999,1934-01-18 00:00:00,316.37947694304091,309.71567723236564,98,96
1934-10-26 17:17:57.871219,1934-03-02 00:00:00,1934-06-08 17:05:34.653368,1935-01-30 00:00:00,328.18604078699013,321.49776529594607,98,96
1935-11-07 21:59:26.772829,1935-03-15 00:00:00,1935-06-21 14:27:59.421276,1936-02-11 00:00:00,340.22398276979368,333.50672497496987,98,96
1936-11-19 07:07:23.967210,1936-03-28 00:00:00,1936-07-03 18:51:44.416045,1937-02-22 00:00:00,352.53132806298493,345.78187939482171,97,95
1937-12-01 23:03:01.455774,1937-04-10 00:00:00,1937-07-17 05:17:56.694081,1938-03-06 00:00:00,5.1341625326365277,358.34940949112297,98,95
1938-12-14 21:33:50.329647,1938-04-24 00:00:00,1938-07-30 23:13:40.892563,1939-03-19 00:00:00,18.049079275582056,11.227887611528672,97,95
1939-12-28 01:11:08.078820,1939-05-09 00:00:00,1939-08-14 01:03:06.941762,1940-03-31 00:00:00,31.270981733059905,24.415728051635249,97,94
1941-01-09 12:20:24.914087,1940-05-22 00:00:00,1940-08-27 07:42:38.026562,1941-04-13 00:00:00,44.782474309737637,37.893536779489985,97,94
1942-01-23 07:00:53.217890,1941-06-06 00:00:00,1941-09-10 17:39:14.875706,1942-04-27 00:00:00,58.550179236817861,51.633466632661964,96,94
1943-02-06 07:51:15.060298,1942-06-21 00:00:00,1942-09-25 05:38:39.197140,1943-05-11 00:00:00,72.523432050384443,65.586193826537638,96,94
1944-02-20 13:18:01.630654,1943-07-06 00:00:00,1943-10-09 18:17:08.726758,1944-05-24 00:00:00,86.632237819070767,79.680269231196547,95,94
1945-03-05 22:42:40.975138,1944-07-20 00:00:00,1944-10-23 05:37:02.365475,1945-06-08 00:00:00,100.7882633092938,93.83078399250499,95,95
1946-03-20 09:28:58.181128,1945-08-03 00:00:00,1945-11-06 13:01:52.958570,1946-06-23 00:00:00,114.90298379072929,107.94967418614229,95,95
1947-04-03 19:37:36.307915,1946-08-18 00:00:00,1946-11-20 15:21:20.787189,1947-07-08 00:00:00,128.8904888146773,121.94876761061946,94,96
1948-04-17 03:19:38.874398,1947-08-31 00:00:00,1947-12-04 11:34:47.882946,1948-07-22 00:00:00,142.67671263643024,135.75583328738583,95,96
1949-05-01 08:34:47.065136,1948-09-13 00:00:00,1948-12-17 00:20:19.627286,1949-08-06 00:00:00,156.20524629652974,149.31167985579324,95,97
1950-05-15 09:22:15.760088,1949-09-26 00:00:00,1949-12-30 04:04:06.535941,1950-08-20 00:00:00,169.44052601937071,162.57941980452202,95,97
1951-05-29 03:36:14.069167,1950-10-09 00:00:00,1951-01-12 01:17:57.653016,1951-09-03 00:00:00,182.36491251054034,175.54000218133064,95,97
1952-06-10 13:19:28.715336,1951-10-21 00:00:00,1952-01-24 17:54:15.318274,1952-09-16 00:00:00,194.97911762312313,188.19221065428536,95,98
1953-06-23 17:26:14.994130,1952-11-01 00:00:00,1953-02-05 02:30:50.399999,1953-09-30 00:00:00,207.2985557145665,200.5511191181032,96,99
1954-07-06 15:52:35.836749,1953-11-13 00:00:00,1954-02-17 06:16:46.147438,1954-10-13 00:00:00,219.35303768222278,212.64268078486049,96,99
1955-07-19 07:29:24.144039,1954-11-25 00:00:00,1955-03-01 06:18:54.366819,1955-10-25 00:00:00,231.17728789805375,224.50072608243772,96,98
1956-07-30 18:35:22.761084,1955-12-06 00:00:00,1956-03-12 03:29:10.642205,1956-11-05 00:00:00,242.81401567901165,236.16527983965406,97,98
1957-08-11 23:56:37.521730,1956-12-17 00:00:00,1957-03-24 00:45:19.249184,1957-11-18 00:00:00,254.30828053942287,247.68119679201126,97,99
1958-08-24 00:31:08.501640,1957-12-28 00:00:00,1958-04-04 19:38:22.125921,1958-11-29 00:00:00,265.70851347349264,259.09594633948268,97,97
1959-09-05 01:01:13.234977,1959-01-09 00:00:00,1959-04-16 15:31:58.081855,1959-12-11 00:00:00,277.06484893964239,270.4582025978321,97,97
1960-09-15 22:47:40.150405,1960-01-21 00:00:00,1960-04-27 14:06:24.684274,1960-12-22 00:00:00,288.42938951047171,281.81972457013694,97,98
1961-09-27 19:31:17.966045,1961-02-01 00:00:00,1961-05-09 16:21:26.433058,1962-01-02 00:00:00,299.85552864822182,293.23543383986777,97,97
1962-10-09 16:25:07.376520,1962-02-13 00:00:00,1962-05-21 23:22:02.440598,1963-01-14 00:00:00,311.39875819242184,304.76069040885437,97,97
1963-10-21 16:22:24.030219,1963-02-25 00:00:00,1963-06-03 09:39:12.872117,1964-01-25 00:00:00,323.11091591621602,316.44748242557904,98,96
1964-11-01 20:43:31.318801,1964-03-09 00:00:00,1964-06-15 03:26:08.743372,1965-02-05 00:00:00,335.03921452896776,328.34254433467544,98,96
1965-11-14 03:16:38.798638,1965-03-22 00:00:00,1965-06-28 05:31:02.611676,1966-02-17 00:00:00,347.22109316991407,340.48727187370292,98,95
1966-11-26 15:33:18.236929,1966-04-04 00:00:00,1966-07-11 13:02:47.535549,1967-03-01 00:00:00,359.68819262197223,352.91303141064486,98,95
1967-12-09 10:26:33.252749,1967-04-18 00:00:00,1967-07-25 04:08:33.594147,1968-03-12 00:00:00,12.462533324502928,5.6461195081372821,98,94
1968-12-21 11:38:25.224329,1968-05-02 00:00:00,1968-08-07 02:22:45.627011,1969-03-25 00:00:00,25.552403293182625,18.695357606082258,97,94
1970-01-03 21:06:22.448910,1969-05-16 00:00:00,1969-08-21 05:43:19.240414,1970-04-07 00:00:00,38.948334389747842,32.053752967419882,97,94
1971-01-17 13:00:23.901584,1970-05-31 00:00:00,1970-09-04 13:57:11.711916,1971-04-21 00:00:00,52.623360102010864,45.697609268729394,96,94
1972-01-31 10:21:39.037695,1971-06-15 00:00:00,1971-09-19 02:17:39.267577,1972-05-04 00:00:00,66.528603648234679,59.578795947658648,96,94
1973-02-13 12:50:09.484982,1972-06-29 00:00:00,1972-10-02 16:25:32.586363,1973-05-18 00:00:00,80.598762548904645,73.632859586750072,95,94
1974-02-27 21:13:26.147256,1973-07-14 00:00:00,1973-10-17 05:49:08.352167,1974-06-02 00:00:00,94.753610563616206,87.782515600741164,95,95
1975-03-14 08:31:41.185663,1974-07-28 00:00:00,1974-10-31 14:55:53.314043,1975-06-17 00:00:00,108.90857238790451,101.94316325846189,95,95
1976-03-27 19:58:10.689142,1975-08-12 00:00:00,1975-11-14 19:24:48.786789,1976-07-01 00:00:00,122.97657937772799,116.02537618243316,94,96
1977-04-11 05:41:16.573531,1976-08-25 00:00:00,1976-11-27 18:46:07.968113,1977-07-16 00:00:00,136.8788016148527,129.95159701299926,94,96
1978-04-25 12:16:26.681521,1977-09-08 00:00:00,1977-12-11 12:09:51.586339,1978-07-31 00:00:00,150.54895388588724,143.65169503845468,94,97
1979-05-09 14:53:18.313950,1978-09-21 00:00:00,1978-12-24 21:11:55.669984,1979-08-14 00:00:00,163.93929448020083,157.07556543992322,94,97
1980-05-22 11:49:30.823738,1979-10-04 00:00:00,1980-01-06 22:42:15.858687,1980-08-28 00:00:00,177.02027906651617,170.19328660087234,94,98
1981-06-05 02:12:14.612794,1980-10-15 00:00:00,1981-01-18 16:57:52.380448,1981-09-10 00:00:00,189.78464546871902,182.99624866542896,95,97
1982-06-18 11:04:48.481094,1981-10-28 00:00:00,1982-01-31 03:46:52.031229,1982-09-24 00:00:00,202.24759716245515,195.49729815116729,95,98
1983-07-01 12:30:13.121026,1982-11-09 00:00:00,1983-02-12 11:18:14.187072,1983-10-07 00:00:00,214.43730307612131,207.72236337591391,95,98
1984-07-13 06:15:29.183819,1983-11-20 00:00:00,1984-02-24 14:35:32.809853,1984-10-19 00:00:00,226.38457561050339,219.7008910667717,96,98
1985-07-25 19:33:41.346034,1984-12-01 00:00:00,1985-03-07 12:39:16.275693,1985-11-01 00:00:00,238.12633339904775,231.46697469280727,96,99
1986-08-07 04:49:07.015912,1985-12-13 00:00:00,1986-03-19 09:26:44.831227,1986-11-13 00:00:00,249.70404400439449,243.06324266624807,96,98
1987-08-19 08:52:40.885071,1986-12-24 00:00:00,1987-03-31 04:42:46.275758,1987-11-25 00:00:00,261.16311722241812,254.53358544130256,97,98
1988-08-30 10:05:29.812832,1988-01-05 00:00:00,1988-04-11 02:08:22.223096,1988-12-06 00:00:00,272.55370308499676,265.92894889085039,97,98
1989-09-11 07:10:48.112086,1989-01-15 00:00:00,1989-04-22 23:37:01.674436,1989-12-17 00:00:00,283.92834602129517,277.30124525947764,97,97
1990-09-23 05:10:24.983686,1990-01-27 00:00:00,1990-05-04 22:42:54.782524,1990-12-29 00:00:00,295.33966378986582,288.7041318093689,97,97
1991-10-05 03:56:34.234790,1991-02-08 00:00:00,1991-05-17 04:04:33.958298,1992-01-09 00:00:00,306.84212797485719,300.19316467129158,98,96
1992-10-16 02:06:04.477259,1992-02-20 00:00:00,1992-05-28 13:35:58.760062,1993-01-20 00:00:00,318.48906810129057,311.81991475173663,98,96
1993-10-28 03:39:21.331322,1993-03-04 00:00:00,1993-06-10 05:27:46.280661,1994-01-31 00:00:00,330.32782286165525,323.63343612867686,98,95
1994-11-09 08:36:08.343858,1994-03-17 00:00:00,1994-06-23 03:56:26.477012,1995-02-12 00:00:00,342.40318550759133,335.67917044832279,98,95
1995-11-21 19:47:54.356518,1995-03-30 00:00:00,1995-07-06 07:46:27.349553,1996-02-24 00:00:00,354.75215391672452,347.99456027676513,98,95
1996-12-03 12:38:38.009005,1996-04-12 00:00:00,1996-07-18 20:29:15.274568,1997-03-07 00:00:00,7.4012198120403738,0.60872753220703546,97,94
1997-12-16 10:28:53.879035,1997-04-26 00:00:00,1997-08-01 16:56:32.122328,1998-03-20 00:00:00,20.361209982350228,13.534088712645268,97,94
1998-12-29 15:45:03.268213,1998-05-10 00:00:00,1998-08-15 19:08:43.415520,1999-04-02 00:00:00,33.628877350664808,26.76738996034338,97,94
2000-01-12 04:58:38.734089,1999-05-25 00:00:00,1999-08-30 01:22:53.217246,2000-04-15 00:00:00,47.180841725721947,40.288417498496329,97,94
2001-01-25 00:23:51.917681,2000-06-08 00:00:00,2000-09-12 11:33:57.969238,2001-04-28 00:00:00,60.978780288171826,54.059528948682356,96,93
2002-02-08 01:31:56.867156,2001-06-23 00:00:00,2001-09-27 00:04:31.625525,2002-05-13 00:00:00,74.969593793090368,68.031408917898816,96,94
2003-02-22 07:40:39.430630,2002-07-08 00:00:00,2002-10-11 13:00:52.804918,2003-05-27 00:00:00,89.085549536512744,82.13512132600593,95,94
2004-03-07 16:50:30.498775,2003-07-23 00:00:00,2003-10-25 23:42:14.919025,2004-06-10 00:00:00,103.24087665991219,96.285601059489395,94,95
2005-03-22 02:54:01.534740,2004-08-05 00:00:00,2004-11-08 06:54:28.133551,2005-06-25 00:00:00,117.34341673590413,110.39421765355753,95,95
2006-04-05 12:54:59.168030,2005-08-19 00:00:00,2005-11-22 09:00:54.801721,2006-07-10 00:00:00,131.3113256671808,124.37515374267453,95,96
2007-04-19 21:24:27.049823,2006-09-02 00:00:00,2006-12-06 04:06:13.922916,2007-07-25 00:00:00,145.07106441059184,138.15524123539092,95,97
2008-05-03 03:06:35.301322,2007-09-16 00:00:00,2007-12-19 14:10:12.987836,2008-08-08 00:00:00,158.56801796001943,151.67997942637106,94,97
2009-05-17 02:06:10.792547,2008-09-28 00:00:00,2008-12-31 18:08:10.305280,2009-08-22 00:00:00,171.76750394199689,164.91150147200761,94,97
2010-05-30 18:08:43.688565,2009-10-10 00:00:00,2010-01-13 15:56:25.659707,2010-09-05 00:00:00,184.6529640568647,177.8321185528371,95,98
2011-06-13 03:52:13.999959,2010-10-23 00:00:00,2011-01-26 06:09:17.147567,2011-09-19 00:00:00,197.22659950654904,190.44409285514229,95,98
2012-06-25 07:59:47.353141,2011-11-04 00:00:00,2012-02-07 14:03:40.561676,2012-10-01 00:00:00,209.50822701311594,202.76339796158712,95,98
2013-07-08 05:11:38.483605,2012-11-15 00:00:00,2013-02-18 17:02:29.485807,2013-10-14 00:00:00,221.52679643550255,214.81819371164946,95,98
2014-07-20 20:35:19.222977,2013-11-26 00:00:00,2014-03-02 16:20:07.102464,2014-10-27 00:00:00,233.31984252615891,226.64326930612293,96,99
2015-08-02 05:52:22.479375,2014-12-08 00:00:00,2015-03-14 15:01:49.715683,2015-11-08 00:00:00,244.93036617980692,238.28245073602002,96,98
2016-08-13 09:50:09.463556,2015-12-19 00:00:00,2016-03-25 10:01:01.554591,2016-11-19 00:00:00,256.40537936642346,249.77900943700971,97,98
2017-08-25 12:07:53.806569,2016-12-30 00:00:00,2017-04-06 05:06:12.270978,2017-12-01 00:00:00,267.79487354358628,261.18207288472331,97,98
2018-09-06 11:08:35.820745,2018-01-10 00:00:00,2018-04-18 01:46:37.196900,2018-12-12 00:00:00,279.14887579278439,272.542030281179,98,97
2019-09-18 08:46:06.804285,2019-01-22 00:00:00,2019-04-30 00:54:12.040599,2019-12-24 00:00:00,290.51879880646953,283.90956810152676,98,97
2020-09-29 05:10:56.788955,2020-02-03 00:00:00,2020-05-11 04:08:51.105723,2021-01-03 00:00:00,301.95693394655984,295.33710944195184,98,96
2021-10-11 02:17:17.654574,2021-02-14 00:00:00,2021-05-23 09:20:16.235255,2022-01-15 00:00:00,313.51730285762028,306.87866674696716,98,96
2022-10-23 04:06:46.306209,2022-02-27 00:00:00,2022-06-04 21:46:57.170723,2023-01-26 00:00:00,325.25367968053285,318.5884226930483,97,95
2023-11-04 07:02:25.870996,2023-03-11 00:00:00,2023-06-17 17:26:50.481778,2024-02-07 00:00:00,337.2111645211844,330.51355662740582,98,95
2024-11-15 14:20:44.481886,2024-03-24 00:00:00,2024-06-29 19:06:19.759960,2025-02-18 00:00:00,349.42857365451289,342.69229456163799,97,95
2025-11-28 03:51:09.738875,2025-04-06 00:00:00,2025-07-13 04:07:08.638410,2026-03-02 00:00:00,1.9344418123329112,355.15753689898713,98,94
2026-12-10 23:30:53.795497,2026-04-20 00:00:00,2026-07-26 19:56:04.564309,2027-03-15 00:00:00,14.750546521677684,7.9301583552175838,97,95
2027-12-24 02:46:44.393882,2027-05-04 00:00:00,2027-08-09 18:05:33.684351,2028-03-27 00:00:00,27.880903506592276,21.020561635323425,97,94
2029-01-05 12:37:24.606040,2028-05-18 00:00:00,2028-08-22 22:17:06.623327,2029-04-09 00:00:00,41.314398686326619,34.41630911001787,96,94
2030-01-19 03:53:41.641792,2029-06-02 00:00:00,2029-09-06 08:34:18.289010,2030-04-23 00:00:00,55.01914616199398,48.090391993358196,96,94
2031-02-02 02:24:31.089552,2030-06-16 00:00:00,2030-09-20 21:29:19.115206,2031-05-07 00:00:00,68.946990472414228,61.993525060255152,96,94
2032-02-16 06:59:36.319573,2031-07-01 00:00:00,2031-10-05 10:49:21.393379,2032-05-20 00:00:00,83.027886846290357,76.059800860368384,96,94
2033-03-01 16:01:32.927124,2032-07-15 00:00:00,2032-10-18 22:26:17.362314,2033-06-04 00:00:00,97.184216964749822,90.210640582243826,95,95
2034-03-16 02:29:17.465402,2033-07-30 00:00:00,2033-11-02 07:03:59.116049,2034-06-19 00:00:00,111.32760414738453,104.36124551300911,95,95
2035-03-30 13:12:18.681684,2034-08-13 00:00:00,2034-11-16 12:00:07.253513,2035-07-04 00:00:00,125.37544873017362,118.4244395463006,95,96
2036-04-12 22:36:26.714801,2035-08-27 00:00:00,2035-11-30 11:06:29.833420,2036-07-18 00:00:00,139.24992274125765,132.32299205616957,95,97
2037-04-27 04:56:12.582666,2036-09-09 00:00:00,2036-12-13 02:57:47.576281,2037-08-01 00:00:00,152.8878758911568,145.99329881801097,95,96
2038-05-11 06:21:49.722731,2037-09-22 00:00:00,2037-12-26 11:35:41.995259,2038-08-16 00:00:00,166.2442586096428,159.38508778063562,95,97
