,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1916-10-26 03:17:51.618199,1916-02-07 00:00:00,1916-05-24 20:13:59.454777,1917-02-09 00:00:00,319.70367564456274,315.77596154345304,107,106
1917-10-30 10:31:45.122699,1917-02-10 00:00:00,1917-05-29 03:27:28.993578,1918-02-13 00:00:00,323.71893404608846,319.79234310505251,108,106
1918-11-03 18:26:43.396932,1918-02-14 00:00:00,1918-06-02 12:31:17.187374,1919-02-17 00:00:00,327.71777494039884,323.79097942231351,108,106
1919-11-08 00:35:43.969758,1919-02-18 00:00:00,1919-06-06 19:13:02.801814,1920-02-22 00:00:00,331.7021649718813,327.77612880844947,108,106
1920-11-11 07:15:59.580646,1920-02-23 00:00:00,1920-06-10 04:07:47.968656,1921-02-25 00:00:00,335.67476216679933,331.74938290010073,108,106
1921-11-15 12:50:03.182378,1921-02-26 00:00:00,1921-06-14 10:56:55.799600,1922-03-01 00:00:00,339.63907183394764,335.71473452241236,108,106
1922-11-19 18:06:41.128931,1922-03-02 00:00:00,1922-06-18 19:50:24.752128,1923-03-06 00:00:00,343.59849189912029,339.67494239781104,108,107
1923-11-23 23:28:56.079377,1923-03-06 00:00:00,1923-06-23 02:41:38.836518,1924-03-09 00:00:00,347.55527360739114,343.63351701108473,109,107
1924-11-27 04:03:42.260929,1924-03-09 00:00:00,1924-06-26 12:02:47.378661,1925-03-13 00:00:00,351.5135482700797,347.59300305896591,109,106
1925-12-01 09:02:26.876316,1925-03-14 00:00:00,1925-06-30 19:13:32.866225,1926-03-17 00:00:00,355.47497127964112,351.55527183244351,108,106
1926-12-05 13:51:55.469828,1926-03-18 00:00:00,1926-07-05 05:01:36.224968,1927-03-21 00:00:00,359.44146155655966,355.52141032195829,109,106
1927-12-09 18:16:44.227674,1927-03-22 00:00:00,1927-07-09 12:31:49.902301,1928-03-25 00:00:00,3.4146784811976985,359.49331874927196,109,107
