,shadow_start,date_retro,shadow_direct,planet_pos_retro,planet_pos_dir,inner_start,inner_end
1916-07-25 10:50:47.052699,1916-05-09 00:00:00,1916-06-12 07:45:36.925858,1916-08-28 00:00:00,109.73320137084428,93.206143349166339,34,34
1918-03-02 15:26:23.053047,1917-12-19 00:00:00,1918-01-20 07:48:28.362910,1918-04-04 00:00:00,328.51634501874861,312.72388079852777,32,33
1919-10-04 11:48:04.520634,1919-07-20 00:00:00,1919-08-22 21:49:53.955004,1919-11-06 00:00:00,177.2554763786485,161.1186793213989,33,33
1921-05-14 00:27:42.930671,1921-02-27 00:00:00,1921-04-01 11:16:49.434544,1921-06-16 00:00:00,40.279108587286686,23.868754459857286,33,33
1922-12-15 17:09:48.341402,1922-10-03 00:00:00,1922-11-04 15:18:28.035898,1923-01-16 00:00:00,249.84665194383473,234.49510107399377,32,32
1924-07-23 03:35:08.874473,1924-05-07 00:00:00,1924-06-10 00:49:53.797211,1924-08-26 00:00:00,107.58348164539352,91.056944701780267,34,34
1926-02-28 04:48:42.473597,1925-12-17 00:00:00,1926-01-17 22:09:17.965878,1926-04-01 00:00:00,326.09402762916659,310.33280793015581,31,32
1927-10-02 02:51:10.111324,1927-07-18 00:00:00,1927-08-20 11:39:31.970241,1927-11-03 00:00:00,175.00069714497306,158.85628732600895,33,32
1929-05-11 15:04:13.409430,1929-02-25 00:00:00,1929-03-30 03:01:37.652243,1929-06-14 00:00:00,38.043934914700806,21.639524464950728,33,34
1930-12-13 06:25:16.067912,1930-10-01 00:00:00,1930-11-02 03:48:31.873591,1931-01-13 00:00:00,247.3882712350748,232.03126525734487,32,31
1932-07-20 20:23:45.477819,1932-05-05 00:00:00,1932-06-07 17:33:04.175822,1932-08-23 00:00:00,105.44729647115935,88.899151127480266,33,34
1934-02-25 17:44:22.006883,1933-12-14 00:00:00,1934-01-15 11:42:19.544398,1934-03-29 00:00:00,323.64767140062798,307.9265550953242,32,32
1935-09-29 17:47:53.188074,1935-07-15 00:00:00,1935-08-18 01:40:34.515910,1935-11-01 00:00:00,172.76920371593832,156.58888853731145,34,33
1937-05-09 05:58:27.327308,1937-02-22 00:00:00,1937-03-27 19:04:48.972807,1937-06-11 00:00:00,35.8462408608098,19.438175972332715,33,33
1938-12-10 19:53:21.809803,1938-09-28 00:00:00,1938-10-30 16:19:18.442772,1939-01-11 00:00:00,244.94907667330833,229.55365411837681,32,32
1940-07-18 13:15:10.467014,1940-05-02 00:00:00,1940-06-05 10:02:05.191864,1940-08-21 00:00:00,103.3078178186902,86.779341238149286,34,34
1942-02-23 06:03:41.353736,1941-12-12 00:00:00,1942-01-13 00:40:58.609413,1942-03-27 00:00:00,321.1872925889478,305.51783641285641,32,32
1943-09-27 09:17:29.492455,1943-07-13 00:00:00,1943-08-15 16:34:17.119750,1943-10-30 00:00:00,170.56157984060562,154.34812947116532,33,33
