,spring,summer,fall,winter
1900,79.5688423159,172.402804961,266.014169924,355.77884058
1901,444.808182062,537.644470991,631.256250789,721.025379747
1902,810.053158162,902.885677911,996.496873748,1086.27464204
1903,1175.30201835,1268.12858546,1361.7386556,1451.51414043
1904,1540.54060128,1633.36916054,1726.98629232,1816.75964179
1905,1905.78998579,1998.6191659,2092.2292682,2182.00251524
1906,2271.03674671,2363.86253196,2457.46879467,2547.24528568
1907,2636.27296173,2729.09947626,2822.71469398,2912.49407405
1908,3001.51905641,3094.34672688,3187.95712652,3277.73150071
1909,3366.7589704,3459.58735551,3553.19769422,3642.97204456
1910,3732.00208534,3824.82565153,3918.43804885,4008.21644532
1911,4097.24606484,4190.06650045,4283.67886357,4373.45356259
1912,4462.47872727,4555.3035583,4648.92237451,4738.69765497
1913,4827.7208603,4920.54840179,5014.16165267,5103.94083281
1914,5192.96576682,5285.78838185,5379.39861043,5469.18216269
1915,5558.20237442,5651.0205539,5744.64154318,5834.42755819
1916,5923.44918789,6016.26711029,6109.88528966,6199.6655967
1917,6288.6926041,6381.51010536,6475.12520671,6564.90664041
1918,6653.9344526,6746.74989034,6840.36504957,6930.15375824
1919,7019.1799585,7111.99568904,7205.60797351,7295.39373802
1920,7384.41619806,7477.23613127,7570.85282367,7660.63673223
1921,7749.66034861,7842.4832248,7936.09712406,8025.88010331
1922,8114.90882156,8207.727032,8301.33998185,8391.12277819
1923,8480.14491283,8572.96039178,8666.58587709,8756.37023864
1924,8845.38904714,8938.2080338,9031.83224553,9121.61480516
1925,9210.63346999,9303.451508,9397.07180964,9486.85869816
1926,9575.87575653,9668.68763615,9762.31020903,9852.10640929
1927,9941.12439477,10033.932184,10127.5533316,10217.3460707
1928,10306.3639522,10399.171255,10492.7955349,10582.5857988
1929,10671.6075689,10764.4172327,10858.0363457,10947.8282029
1930,11036.8539665,11129.6618217,11223.2750253,11313.0690351
1931,11402.0877525,11494.8946075,11588.5163184,11678.3121158
1932,11767.3289277,11860.1408288,11953.7610001,12043.5514856
1933,12132.5715338,12225.3833121,12319.0008956,12408.7898513
1934,12497.8110804,12590.6167193,12684.2396611,12774.0342335
1935,12863.0538938,12955.8597718,13049.4848703,13139.275676
1936,13228.2901862,13321.0984648,13414.7264141,13504.5184366
1937,13593.5312284,13686.341793,13779.9673163,13869.7649663
1938,13958.7799006,14051.5859499,14145.208083,14235.0092329
1939,14324.019807,14416.8191502,14510.4509725,14600.254063
1940,14689.2664361,14782.0670772,14875.6984073,14965.496287
1941,15054.5142351,15147.3149134,15240.939439,15330.738921
1942,15419.757318,15512.5530663,15606.1781621,15695.9857279
1943,15785.0018601,15877.8003259,15971.4248662,16061.2284652
1944,16150.2420385,16243.0433895,16336.6677597,16426.4685436
1945,16515.4840951,16608.2862735,16701.9096505,16791.7107348
1946,16880.7310566,16973.5309113,17067.1531793,17156.9536147
