,z1,z2,tz_change,t_zone,dst
1883-01-01 00:00:00,LMT,PST,"('-ve', '14:55:00')","('-ve', '8:00:00')","('+ve', '0:00:00')"
1918-03-31 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1918-10-27 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1919-03-30 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1919-10-26 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1942-02-09 02:00:00,PST,PWT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1945-08-14 16:00:00,PWT,PPT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '0:00:00')"
1945-09-30 02:00:00,PPT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1948-03-14 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1949-01-01 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1950-04-30 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1950-09-24 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1951-04-29 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1951-09-30 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1952-04-27 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1952-09-28 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1953-04-26 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1953-09-27 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1954-04-25 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1954-09-26 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1955-04-24 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1955-09-25 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1956-04-29 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1956-09-30 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1957-04-28 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1957-09-29 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1958-04-27 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1958-09-28 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1959-04-26 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
1959-09-27 02:00:00,PDT,PST,"('+ve', '0:00:00')","('-ve', '8:00:00')","('-ve', '1:00:00')"
1960-04-24 02:00:00,PST,PDT,"('+ve', '0:00:00')","('-ve', '7:00:00')","('+ve', '1:00:00')"
