,region,country,latidude,longitude,pytzname,timezone,dst,std,dst
'AmmanJO,'Amman,JO,31.951259613037109,35.819789886474609,Asia/Amman,2.0,1.0,EET,EEST
AEAE,AE,AE,25.258169174194336,55.304721832275391,Asia/Dubai,4.0,0.0,GST,GST
AFAF,AF,AF,34.528129577636719,69.172332763671889,Asia/Kabul,4.5,0.0,AFT,AFT
AMAM,AM,AM,40.181110382080078,44.51361083984375,Asia/Yerevan,4.0,0.0,AMT,AMT
AOAO,AO,AO,-8.8368196487426758,13.234319686889648,Africa/Luanda,1.0,0.0,WAT,WAT
AQAQ,AQ,AQ,-90.0,0.0,uninhabited,0,0,XXX,XXX
ARAR,AR,AR,-34.613151550292969,-58.377231597900391,America/Argentina/Buenos_Aires,-3.0,0.0,ART,ART
ATAT,AT,AT,48.208488464355462,16.372079849243164,Europe/Vienna,1.0,1.0,CET,CEST
AUAU,AU,AU,-33.867851257324212,151.20732116699219,Australia/Sydney,11.0,-1.0,AEDT,AEST
AakkLB,Aakk,LB,34.542781829833984,36.079719543457031,Asia/Beirut,2.0,1.0,EET,EEST
AargauCH,Aargau,CH,47.287788391113281,7.9458599090576172,Europe/Zurich,1.0,1.0,CET,CEST
AbiaNG,Abia,NG,5.1065797805786124,7.3666701316833487,Africa/Lagos,1.0,0.0,WAT,WAT
AbkhaziaGE,Abkhazia,GE,41.694721221923828,44.6986083984375,Asia/Tbilisi,4.0,0.0,GET,GET
AbraPH,Abra,PH,17.437900543212894,120.62619781494141,Asia/Manila,8.0,0.0,PHT,PHT
AbruzziIT,Abruzzi,IT,41.952430725097656,14.35181999206543,Europe/Rome,1.0,1.0,CET,CEST
AbseronAZ,Abseron,AZ,40.532218933105469,49.716388702392578,Asia/Baku,4.0,1.0,AZT,AZST
Abu DhabiAE,Abu Dhabi,AE,23.143550872802731,53.788101196289062,Asia/Dubai,4.0,0.0,GST,GST
AcehID,Aceh,ID,2.4802999496459961,96.380096435546875,Asia/Jakarta,7.0,0.0,WIB,WIB
AcreBR,Acre,BR,-10.651670455932617,-68.504440307617188,America/Rio_Branco,-5.0,0.0,ACT,ACT
Ad DakhiliyahOM,Ad Dakhiliyah,OM,23.316669464111328,58.016670227050781,Asia/Muscat,4.0,0.0,GST,GST
Ad DaliYE,Ad Dali,YE,14.090310096740724,44.670059204101562,Asia/Aden,3.0,0.0,AST,AST
Ad DaqahliyahEG,Ad Daqahliyah,EG,31.053899765014648,31.377870559692386,Africa/Cairo,2.0,0.0,EET,EET
Ad DawhahQA,Ad Dawhah,QA,25.279319763183594,51.522449493408203,Asia/Qatar,3.0,0.0,AST,AST
Ad DhahirahOM,Ad Dhahirah,OM,23.22573089599609,56.515720367431641,Asia/Muscat,4.0,0.0,GST,GST
AdamaouaCM,Adamaoua,CM,7.3166699409484863,13.583330154418945,Africa/Douala,1.0,0.0,WAT,WAT
AdamawaNG,Adamawa,NG,9.1999998092651367,12.483329772949221,Africa/Lagos,1.0,0.0,WAT,WAT
AdanYE,Adan,YE,12.876779556274414,44.993091583251953,Asia/Aden,3.0,0.0,AST,AST
AdanaTR,Adana,TR,36.974388122558594,35.359161376953125,Europe/Istanbul,2.0,1.0,EET,EEST
AdazuLV,Adazu,LV,57.075828552246101,24.321390151977536,Europe/Riga,2.0,1.0,EET,EEST
Adis AbebaET,Adis Abeba,ET,9.0249700546264648,38.746891021728523,Africa/Addis_Ababa,3.0,0.0,EAT,EAT
AdiyamanTR,Adiyaman,TR,37.581939697265625,38.474170684814453,Europe/Istanbul,2.0,1.0,EET,EEST
AdrarDZ,Adrar,DZ,29.263879776000977,0.23097999393939969,Africa/Algiers,1.0,0.0,CET,CET
AdygeyaRU,Adygeya,RU,44.989009857177727,38.943241119384773,Europe/Moscow,3.0,0.0,MSK,MSK
AfarET,Afar,ET,11.563610076904295,41.439441680908203,Africa/Addis_Ababa,3.0,0.0,EAT,EAT
AfyonkarahisarTR,Afyonkarahisar,TR,38.531108856201172,31.228059768676761,Europe/Istanbul,2.0,1.0,EET,EEST
AgadezNE,Agadez,NE,18.685319900512688,12.916430473327635,Africa/Niamey,1.0,0.0,WAT,WAT
Agana Heights MunicipalityGU,Agana Heights Municipality,GU,13.464940071105955,144.74757385253906,Pacific/Guam,10.0,0.0,ChST,ChST
Agat MunicipalityGU,Agat Municipality,GU,13.3885498046875,144.65852355957031,Pacific/Guam,10.0,0.0,ChST,ChST
AgcabadiAZ,Agcabadi,AZ,40.052780151367188,47.461391448974609,Asia/Baku,4.0,1.0,AZT,AZST
AgdasAZ,Agdas,AZ,40.650001525878906,47.476108551025391,Asia/Baku,4.0,1.0,AZT,AZST
AglonasLV,Aglonas,LV,56.133331298828132,27.016670227050781,Europe/Riga,2.0,1.0,EET,EEST
AgriTR,Agri,TR,39.633609771728523,43.375,Europe/Istanbul,2.0,1.0,EET,EEST
AgsuAZ,Agsu,AZ,40.570278167724609,48.400871276855462,Asia/Baku,4.0,1.0,AZT,AZST
AguadaPR,Aguada,PR,18.364389419555664,-67.157402038574219,America/Puerto_Rico,-4.0,0.0,AST,AST
